d6a603c was Danne Connolly, 2 days ago, message: First commit
5c44cf9 was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #879 from franzliedke/patch-17
db9f220 was Franz Liedke, 4 years, 7 months ago, message: Force UTF-8 charset on JSON responses.
d7bbdd9 was Franz Liedke, 4 years, 7 months ago, message: Fix anchor name for "Retrieving a language line" section on localization page.
f051485 was Simon, 4 years, 7 months ago, message: Input::has_file was not working properly. This one should work perfect :)
1be274c was Jesse O'Brien, 4 years, 7 months ago, message: Change update function so it uses timestamp like save
f2ccc68 was Franz Liedke, 4 years, 7 months ago, message: Ignore NULL values when determining whether a model object is dirty.
0440b86 was Roumen Damianoff, 4 years, 7 months ago, message: Added Bulgarian language files
7bdddfe was Nir Lahad, 4 years, 7 months ago, message: Fixed Hebrew
72558bd was Steven Lischer, 4 years, 8 months ago, message: removed extra newline
5509138 was Steven Lischer, 4 years, 8 months ago, message: Merge branch 'develop' of git://github.com/laravel/laravel into develop
b28c5eb was Steven Lischer, 4 years, 8 months ago, message: docs edit: eager loading using $includes in model
94e9106 was Franz Liedke, 4 years, 8 months ago, message: Display memory usage (and peak usage) in the profiler bar, too.
98b9218 was Franz Liedke, 4 years, 8 months ago, message: Calculate memory and peak memory usage in profiler, too.
3b6191e was Chris Berthe, 4 years, 8 months ago, message: Merge remote-tracking branch 'upstream/develop' into develop
52f76b9 was Jason Lewis, 4 years, 8 months ago, message: Fixes #818, wraps  in an array instead of type casting.
34923cf was Nir Lahad, 4 years, 8 months ago, message: Hebrew Translation
f77b22e was TommyC81, 4 years, 8 months ago, message: Add documentation on how to attach pivot table fields to attach command.
3ba5c00 was Jason Lewis, 4 years, 8 months ago, message: Merge pull request #881 from TommyC81/develop
110078d was TommyC81, 4 years, 8 months ago, message: Fixed typo
2159596 was TommyC81, 4 years, 8 months ago, message: Bold characters for reflash and keep.
26623c7 was TommyC81, 4 years, 8 months ago, message: Removed empty row.
97dfaee was Tomasz Tomczyk, 4 years, 8 months ago, message: Added Polish translation
837f617 was TommyC81, 4 years, 8 months ago, message: Re-organized and added some more help on the reflash() and keep() functions.
a87bb86 was Franz Liedke, 4 years, 8 months ago, message: Fix a bug with Eloquent model classes and isset() when eager loading a relationship returns an empty result set.
603e349 was Dayle Rees, 4 years, 8 months ago, message: Merge pull request #878 from TommyC81/develop
3a504cf was TommyC81, 4 years, 8 months ago, message: Fixed small typo.
750365c was Taylor Otwell, 4 years, 8 months ago, message: increment version
d53ac0e was Taylor Otwell, 4 years, 8 months ago, message: update change log
8d17702 was Taylor Otwell, 4 years, 8 months ago, message: Merge branch 'staging' into develop
14e9488 was Taylor Otwell, 4 years, 8 months ago, message: Speed up eager loading of many to many.
39df69f was Franz Liedke, 4 years, 8 months ago, message: Allow more than just WHERE clauses on eager load constraints.
2d4fa72 was Taylor Otwell, 4 years, 8 months ago, message: Merge pull request #867 from niallobrien/develop
1f93039 was Taylor Otwell, 4 years, 8 months ago, message: Merge pull request #873 from dlpetrie/master
f640cd4 was Daniel Petrie, 4 years, 8 months ago, message: adding in '=' to regex for (:any) / (:any?) calls.
79a5dc1 was Luca Degasperi, 4 years, 8 months ago, message: Using escapeshellarg instead of putting backshlashes in front of spaces
ad2540c was Luca Degasperi, 4 years, 8 months ago, message: Fixed the spaced directory when calling php unit via the command line
9858f8a was niallobrien, 4 years, 8 months ago, message: Added examples for using $errors in views.
a04f38c was Tobsn, 4 years, 8 months ago, message: Now with Balanced Parentheses!
5e23738 was Franz Liedke, 4 years, 8 months ago, message: Allow for passing variables to views with more expressive method calls.
f3d7564 was Chris Berthe, 4 years, 8 months ago, message: Merge remote-tracking branch 'upstream/develop' into develop
bcd63ab was Franz Liedke, 4 years, 8 months ago, message: We can be fairly sure the $time variable is set in the profiler view.
204a64f was Franz Liedke, 4 years, 8 months ago, message: Simply use the LARAVEL_START constant for calculation page generation time in profiler.
0f5de55 was Franz Liedke, 4 years, 8 months ago, message: Fix variable name in retrieve() method for Eloquent auth driver.
0493431 was Shawn McCool, 4 years, 8 months ago, message: Merge branch 'feature/installation' into staging
4d7d67d was Shawn McCool, 4 years, 8 months ago, message: Merge branch 'feature/installation' into develop
97ceecd was Shawn McCool, 4 years, 8 months ago, message: Merge branch 'feature/installation'
d08db5c was Shawn McCool, 4 years, 8 months ago, message: added server configuration to install docs
a8b5231 was Steve Frost, 4 years, 8 months ago, message: Updated the dd function to var_dump inside pre tags, makes is a bit more readable
a018608 was Jason Lewis, 4 years, 8 months ago, message: Merge pull request #857 from noor/develop
9572329 was Franz Liedke, 4 years, 8 months ago, message: Allow Auth::login() to work with objects for the Eloquent driver.
5d06f92 was Noor Alhiraki, 4 years, 8 months ago, message: Added Arabic translation.
52f98b7 was Franz Liedke, 4 years, 8 months ago, message: Use start_time attribute like a static attribute (as it is).
c741230 was Franz Liedke, 4 years, 8 months ago, message: Render page generation time on anbu profiler console.
59397eb was Franz Liedke, 4 years, 8 months ago, message: Calculate the total render time in the profiler.
cea48d4 was Jason Lewis, 4 years, 8 months ago, message: Updated the documentation.
ac810f8 was Jason Lewis, 4 years, 8 months ago, message: Allow filter patterns to supply a name and callback as an easier alternative.
0ebeb14 was Dayle Rees, 4 years, 8 months ago, message: Merge pull request #849 from franzliedke/patch-12
b8c4af1 was Dayle Rees, 4 years, 8 months ago, message: Merge pull request #852 from JeffreyWay/patch-1
5a4d622 was Jeffrey Way, 4 years, 8 months ago, message: Fix small typo in validation docs.
ed4a697 was Franz Liedke, 4 years, 8 months ago, message: Fix some bugs and inconsistencies in the German validation translation.
31abcd5 was Tobsn, 4 years, 8 months ago, message: unique typo
0b9b102 was Tobsn, 4 years, 8 months ago, message: NOT NULL order issue fixed!
9296d08 was Dayle Rees, 4 years, 8 months ago, message: Merge pull request #825 from tobsn/patch-2
6415f1d was Dayle Rees, 4 years, 8 months ago, message: Merge pull request #846 from tobsn/patch-6
567b728 was Dayle Rees, 4 years, 8 months ago, message: Merge pull request #845 from tobsn/patch-5
8d13bf9 was Dayle Rees, 4 years, 8 months ago, message: removing unsigned from mysql grammer due to bug
61a61fc was Tobsn, 4 years, 8 months ago, message: Added explanation about PDO default attributes
36226b9 was Tobsn, 4 years, 8 months ago, message: fixed link for query builder /query -> /fluent
5c274ed was Tobsn, 4 years, 8 months ago, message: Environments Typo
7af0304 was Taylor Otwell, 4 years, 8 months ago, message: Merge branch 'master' into develop
be264ab was Tobias Orterer, 4 years, 8 months ago, message: added break function to closing structure
276f96a was Koen Schmeets, 4 years, 8 months ago, message: Adding comment to finish call
1b06249 was Taylor Otwell, 4 years, 8 months ago, message: Merge pull request #774 from franzliedke/patch-8
3fcb3aa was Taylor Otwell, 4 years, 8 months ago, message: Merge pull request #775 from franzliedke/patch-9
a203a12 was Taylor Otwell, 4 years, 8 months ago, message: Merge pull request #799 from Jelle-S/develop
81efdcf was Taylor Otwell, 4 years, 8 months ago, message: Merge pull request #776 from JesseObrien/develop
6e28d0b was Taylor Otwell, 4 years, 8 months ago, message: Merge pull request #812 from stefanneubig/patch-2
6405175 was Taylor Otwell, 4 years, 8 months ago, message: Merge pull request #819 from jasonlewis/patch-11
fc96014 was Taylor Otwell, 4 years, 8 months ago, message: Merge pull request #821 from daylerees/feature/clear-input
7354b5f was Taylor Otwell, 4 years, 8 months ago, message: Merge pull request #824 from tobsn/patch-1
1f9f064 was Taylor Otwell, 4 years, 8 months ago, message: Merge pull request #831 from jasonlewis/feature/blade-break
749a91f was Taylor Otwell, 4 years, 8 months ago, message: Merge pull request #840 from noor/develop
1c0501e was Taylor Otwell, 4 years, 8 months ago, message: Merge pull request #833 from tobsn/patch-4
24bbd66 was Taylor Otwell, 4 years, 8 months ago, message: Merge pull request #838 from SonicHedgehog/master
ec0128b was Noor Alhiraki, 4 years, 8 months ago, message: fixed optgroup closing tag
ec45563 was SonicHedgehog, 4 years, 8 months ago, message: Fixed typo
c6ebf68 was Tobias Orterer, 4 years, 8 months ago, message: Added important note about @layout on first line
17e75a9 was Chris Berthe, 4 years, 8 months ago, message: Merge remote-tracking branch 'upstream/develop' into develop
b6cc836 was Jason Lewis, 4 years, 8 months ago, message: Added an @break to blade to break out of loops.
3732113 was Tobias Orterer, 4 years, 8 months ago, message: fixed missed umlauts
ddee5b7 was Tobias Orterer, 4 years, 8 months ago, message: Blade cleanup
139abb2 was Tobias Orterer, 4 years, 8 months ago, message: German Translation
e0d491c was Tobias Orterer, 4 years, 8 months ago, message: Added UNSIGNED to mysql grammar inrementer()
c92578b was Taylor Otwell, 4 years, 8 months ago, message: Merge branch 'master' of github.com:laravel/laravel
681f80e was Taylor Otwell, 4 years, 8 months ago, message: update change log
5279773 was Taylor Otwell, 4 years, 8 months ago, message: Merge pull request #823 from Vespakoen/patch-3
aeeb010 was Koen Schmeets, 4 years, 8 months ago, message: Fixing reference issue in relationship matching
189f381 was Koen Schmeets, 4 years, 8 months ago, message: Calling the finish method on the right object
e331732 was Dayle Rees, 4 years, 8 months ago, message: added clear() method to the input class
a5cc861 was Jason Lewis, 4 years, 8 months ago, message: Fix bug where error is shown when named view isn't set.
5d6258a was Jason Lewis, 4 years, 8 months ago, message: Can now check for existance of named views.
19a3e9d was anaxamaxan, 4 years, 8 months ago, message: Allow Model instance an id for first argument in Has_Many_And_Belongs_To::attach() and same for ::detach(). Also a typo fix for the docblock on attach().
ac2e7c6 was Stefan Neubig, 4 years, 8 months ago, message: Fixed namespace issue when registering a session driver with the extend closure
5a1c1bf was Dayle Rees, 4 years, 8 months ago, message: Merge pull request #801 from dlabs88/patch-1
e9e8a5b was Jason Walton, 4 years, 8 months ago, message: Adds limit_exact method which will limit a string and its custom ending to a specified length
b27b132 was Taylor Otwell, 4 years, 8 months ago, message: update change log
0a24189 was Taylor Otwell, 4 years, 8 months ago, message: added resolving event.
8e5f1dd was Chris Berthe, 4 years, 8 months ago, message: Resolved autoloader conflict
fafaf72 was Chris Berthe, 4 years, 8 months ago, message: Grammar/Vocabulary fixes
06d7abc was dlabs88, 4 years, 8 months ago, message: Route::get('admin', array('before' => 'auth', function() {}));
ac8bd08 was Jelle Sebreghts, 4 years, 8 months ago, message: Fix for https://github.com/laravel/laravel/issues/789
6881bda was Jason Walton, 4 years, 8 months ago, message: Added required_with validation rule to conditionally require an attribute based on the presence of another attribute
14868a5 was Taylor Otwell, 4 years, 8 months ago, message: Merge pull request #792 from asdfgh746/develop
6c35bba was Lucas Cherkewski, 4 years, 8 months ago, message: Fix typo.
67ac2f2 was Jesse O'Brien, 4 years, 8 months ago, message: Default was never returned. If no IP was found it returns NULL.
7ead179 was Franz Liedke, 4 years, 8 months ago, message: Apply prefix to foreign key's "on" attribute, too.
605be70 was Franz Liedke, 4 years, 8 months ago, message: Avoid unnecessary end() in Table::column() function.
8fc80c4 was Franz Liedke, 4 years, 8 months ago, message: Avoid unnecessary end() in Table::command() function.
f2e915f was Loic Sharma, 4 years, 8 months ago, message: Improved the way the quotes were added to the bindings.
ea3021f was Loic Sharma, 4 years, 8 months ago, message: Fixed bug where the profiler did not correctly put quotes around bindings
db351fe was Samuel Fitz, 4 years, 8 months ago, message: added dblib option to sqlsrv connector class /sam fitz (abigwonderful)
75033f6 was Aaron Kuzemchak, 4 years, 8 months ago, message: Updating docs for Blade comments
3d7dc61 was Aaron Kuzemchak, 4 years, 8 months ago, message: Fixing multiline Blade comments, making closing comment tag required
3ccc37b was Franz Liedke, 4 years, 8 months ago, message: Documentation: Fix typo on routing page's TOC.
161ea09 was Franz Liedke, 4 years, 8 months ago, message: Documentation: Add link to Controller Routing section to Routing submenu.
d9802fe was Taylor Otwell, 4 years, 8 months ago, message: flush output buffer in error class.
ad14938 was Taylor Otwell, 4 years, 8 months ago, message: Merge pull request #760 from cviebrock/develop
1cc33de was Colin Viebrock, 4 years, 8 months ago, message: Clean-up whitespace issues Signed-off-by: Colin Viebrock <colin@viebrock.ca>
